,Predicted Fatal Cases
0,174.34448
1,178.8477
2,181.94429
3,183.85805
4,184.82974
5,185.06735
6,184.69882
7,183.91269
8,182.79869
9,181.41316
10,179.79152
11,177.99562
12,176.12599
13,174.29921
14,172.56557
15,170.9722
16,169.49945
17,168.11537
18,166.79048
19,165.50127
20,164.2302
21,162.954
22,161.65787
23,160.35672
24,159.0487
25,157.7378
26,156.42618
27,155.11609
28,167.5715
29,187.86961
30,191.71281
31,194.58942
32,196.51285
33,197.56905
34,197.89062
35,197.64209
36,196.98386
37,196.04375
38,194.81769
39,193.47748
40,192.05307
41,190.47293
42,194.06667
43,187.41835
44,190.54608
45,192.65996
46,193.83841
47,194.22502
48,193.99615
49,193.32874
50,192.25337
51,190.89874
52,189.32909
53,187.51906
54,185.44855
55,183.25615
56,181.02832
57,178.84685
58,176.76782
59,174.80415
60,172.95306
61,171.20381
62,169.54245
63,167.95337
64,166.42102
65,164.93126
66,163.47256
67,162.03658
68,160.60928
69,159.18768
70,157.78415
71,173.4737
72,199.96832
73,202.7182
74,204.4563
75,205.6244
76,206.26233
77,205.97449
78,205.22084
79,204.1463
80,202.87177
81,201.48004
82,200.02306
83,198.40352
84,196.69296
85,201.6646
86,194.99529
87,198.76077
88,200.9679
89,201.91342
90,202.19469
91,201.75392
92,200.68582
93,199.3003
94,197.68063
95,195.79591
96,193.73232
97,191.55182
98,189.26254
99,186.80489
100,184.36893
101,181.99776
102,179.70656
103,177.50844
104,175.41388
105,173.42696
106,171.5437
107,169.75395
108,168.04411
109,166.40005
110,164.80936
111,163.26503
112,161.76056
113,160.2889
114,179.29123
115,203.07672
116,207.15814
117,209.77342
118,211.05768
119,211.46922
120,211.4705
121,211.0247
122,210.06334
123,208.93782
124,207.18376
125,205.36526
126,203.54591
127,201.70401
128,208.53757
129,196.13211
130,200.61374
131,203.7085
132,205.42288
133,205.93135
134,205.83784
135,205.54614
136,204.77577
137,203.47806
138,201.46431
139,199.24297
140,196.7939
141,194.28954
142,191.7974
143,189.26476
144,186.72865
145,184.24792
146,181.82167
147,179.46358
148,177.19336
149,175.02719
150,172.97206
151,171.02512
152,169.17674
153,167.41418
154,165.72461
155,164.10323
156,162.53535
157,184.95935
158,203.68112
159,208.00188
160,211.16238
161,213.39893
162,214.60312
163,214.71394
164,214.04117
165,213.09673
166,212.17953
167,211.28416
168,209.97585
169,208.42679
170,206.33527
171,212.13486
172,194.85342
173,200.69559
174,204.33797
175,206.43405
176,207.7948
177,208.28537
178,207.83743
179,206.90851
180,205.87865
181,204.79414
182,203.38464
183,201.35957
184,198.75198
185,196.14725
186,193.5983
187,191.1072
188,188.5291
189,185.93983
190,183.38052
191,180.87173
192,178.44035
193,176.11133
194,173.90088
195,171.81375
196,169.84465
197,167.98233
198,166.21503
199,164.53345
200,190.4503
201,202.10617
202,207.73349
203,211.54698
204,213.76913
205,215.22507
206,216.17818
207,216.4289
208,215.86523
209,214.66444
210,213.2434
211,211.96251
212,210.814
213,209.68213
214,214.22704
215,190.68489
216,197.81752
217,202.96532
218,206.49144
219,208.39133
220,209.00189
221,209.23932
222,208.95288
223,207.8973
224,206.36295
225,204.69232
226,202.98172
227,201.24446
228,199.45819
229,197.1577
230,194.61052
231,192.13885
232,189.68173
233,187.09557
234,184.48364
235,181.88203
236,179.32483
237,176.84978
238,174.4884
239,172.25916
240,170.1661
241,168.20224
242,166.35747
243,194.04744
244,198.14842
245,204.8834
246,209.86479
247,213.4167
248,215.64014
249,216.53552
250,216.80493
251,216.90201
252,216.60063
253,215.6906
254,214.24104
255,212.57625
256,211.02959
257,216.53159
258,184.16045
259,192.80649
260,199.1916
261,203.74446
262,206.99657
263,209.11159
264,209.96027
265,209.60811
266,209.00401
267,208.0625
268,206.44102
269,204.34964
270,202.21658
271,200.28185
272,198.55562
273,196.84422
274,195.08652
275,192.59941
276,190.10628
277,187.61093
278,184.99446
279,182.3787
280,179.78621
281,177.24892
282,174.80061
283,172.46924
284,170.27086
285,168.20882
286,195.70326
287,191.87035
288,199.96603
289,206.16759
290,210.62624
291,213.85771
292,216.08533
293,217.31627
294,217.42795
295,216.9425
296,216.51607
297,215.88278
298,214.76384
299,213.12346
300,218.5413
301,176.62537
302,186.19142
303,193.70816
304,199.39452
305,203.58167
306,206.57794
307,208.62361
308,209.78305
309,209.84642
310,208.72093
311,207.30118
312,205.71068
313,203.71185
314,201.53728
315,199.50607
316,197.70314
317,195.987
318,194.30032
319,192.63112
320,190.23349
321,187.67192
322,185.0892
323,182.4436
324,179.82486
325,177.25613
326,174.76677
327,172.38503
328,170.13066
329,196.75473
330,184.78333
331,193.41647
332,200.56384
333,206.1604
334,210.36777
335,213.39674
336,215.52942
337,216.93338
338,217.5587
339,217.20757
340,216.26125
341,215.45164
342,214.5231
343,219.31691
344,170.15253
345,179.4225
346,187.47943
347,194.0013
348,199.00293
