,Predicted Confirmed Cases
0,1292.3671
1,1316.0548
2,1336.4366
3,1353.9576
4,1369.0546
5,1382.1329
6,1393.5477
7,1403.571
8,1412.3896
9,1420.1287
10,1426.8766
11,1432.7059
12,1437.6843
13,1441.8784
14,1445.3549
15,1448.1782
16,1450.4119
17,1452.1149
18,1453.3413
19,1454.1423
20,1454.5621
21,1454.6405
22,1454.4126
23,1453.9075
24,1453.1498
25,1452.1592
26,1450.952
27,1449.5391
28,1415.5076
29,1376.0183
30,1390.4856
31,1402.5349
32,1412.702
33,1421.3193
34,1428.7594
35,1435.3547
36,1441.4677
37,1447.2727
38,1452.8251
39,1458.0907
40,1462.9928
41,1467.4508
42,1445.7925
43,1328.1516
44,1347.7087
45,1364.4729
46,1378.9602
47,1391.5033
48,1402.5117
49,1412.2734
50,1421.0018
51,1428.8281
52,1435.8156
53,1441.9896
54,1447.3643
55,1451.9596
56,1455.8074
57,1458.9507
58,1461.4413
59,1463.3353
60,1464.6895
61,1465.5593
62,1465.9966
63,1466.049
64,1465.7594
65,1465.1652
66,1464.2981
67,1463.185
68,1461.8472
69,1460.3016
70,1458.5615
71,1438.8605
72,1418.2712
73,1428.8376
74,1437.1338
75,1443.9883
76,1449.7324
77,1454.657
78,1459.0845
79,1463.2305
80,1467.3434
81,1471.4839
82,1475.6097
83,1479.6127
84,1483.3646
85,1473.5181
86,1367.6705
87,1382.2758
88,1394.6631
89,1405.5098
90,1415.1813
91,1423.8522
92,1431.7335
93,1438.963
94,1445.6084
95,1451.6816
96,1457.154
97,1461.985
98,1466.1437
99,1469.6199
100,1472.4268
101,1474.5956
102,1476.1702
103,1477.2013
104,1477.7417
105,1477.8435
106,1477.5553
107,1476.9222
108,1475.9839
109,1474.7739
110,1473.3219
111,1471.6506
112,1469.7788
113,1467.72
114,1462.4977
115,1462.623
116,1468.9701
117,1473.073
118,1476.2645
119,1478.9807
120,1481.3739
121,1483.607
122,1485.8632
123,1488.2286
124,1490.8397
125,1493.6678
126,1496.6063
127,1499.5054
128,1501.744
129,1410.1786
130,1419.4803
131,1427.0448
132,1433.8013
133,1440.1571
134,1446.2461
135,1452.0377
136,1457.5692
137,1462.8457
138,1467.8284
139,1472.4481
140,1476.6183
141,1480.26
142,1483.318
143,1485.7681
144,1487.6143
145,1488.8821
146,1489.6107
147,1489.8469
148,1489.6398
149,1489.0376
150,1488.0857
151,1486.8254
152,1485.2925
153,1483.518
154,1481.5265
155,1479.3395
156,1476.9711
157,1486.2488
158,1507.9819
159,1510.2804
160,1510.0728
161,1509.3492
162,1508.8582
163,1508.684
164,1508.777
165,1509.1538
166,1509.8553
167,1510.8947
168,1512.3173
169,1514.0435
170,1515.9341
171,1530.3176
172,1454.6472
173,1458.7622
174,1461.405
175,1463.8291
176,1466.5697
177,1469.7397
178,1473.2476
179,1476.8927
180,1480.6147
181,1484.3268
182,1487.9247
183,1491.2905
184,1494.3055
185,1496.8712
186,1498.922
187,1500.4282
188,1501.3898
189,1501.8286
190,1501.7804
191,1501.2881
192,1500.3966
193,1499.1503
194,1497.5905
195,1495.7545
196,1493.6747
197,1491.378
198,1488.887
199,1486.2185
200,1509.9822
201,1553.2697
202,1552.0881
203,1547.8125
204,1543.099
205,1539.2174
206,1536.3713
207,1534.3411
208,1532.9174
209,1532.0082
210,1531.5479
211,1531.5321
212,1531.9462
213,1532.689
214,1559.0863
215,1500.0386
216,1499.4412
217,1497.3506
218,1495.4218
219,1494.3799
220,1494.4011
221,1495.3481
222,1496.9647
223,1498.9556
224,1501.2224
225,1503.624
226,1506.0222
227,1508.273
228,1510.242
229,1511.8234
230,1512.9491
231,1513.587
232,1513.736
233,1513.4147
234,1512.655
235,1511.4955
236,1509.9773
237,1508.1403
238,1506.0219
239,1503.6554
240,1501.0693
241,1498.2877
242,1495.3304
243,1533.506
244,1597.5774
245,1593.7239
246,1585.942
247,1577.3917
248,1569.9897
249,1564.2966
250,1560.0729
251,1556.892
252,1554.4539
253,1552.6051
254,1551.2079
255,1550.2854
256,1549.7863
257,1587.7965
258,1545.4216
259,1540.8575
260,1534.4313
261,1528.2965
262,1523.4432
263,1520.1704
264,1518.3684
265,1517.7261
266,1517.881
267,1518.5474
268,1519.5894
